Player Name,Club,Position,Minutes,Goals,Assists,Shots,Shots On Target,Passes%,Conversion %,Touches_per90,Passes_per90,Shots_per90,Assists_per90,Goals_per90,Carries_per90,Progressive Carries_per90,Through Balls_per90,Crosses_per90,Tackles_per90,Interceptions_per90,Ground Duels_per90,Aerial Duels_per90,Saves_per90,Clearances_per90,Fouls_per90
Ian Maatsen,Aston Villa,DEF,1128,1,2,19,4,90.0,5.0,77.87234042553192,151.35638297872342,1.5159574468085106,0.1595744680851064,0.0797872340425532,31.1968085106383,18.111702127659573,0.0797872340425532,0.0,2.3138297872340425,1.356382978723404,8.058510638297873,8.457446808510639,0.0,2.154255319148936,0.8776595744680851
Jacob Ramsey,Aston Villa,MID,1628,1,3,19,8,85.0,13.0,45.88452088452088,42.45700245700246,1.0503685503685503,0.16584766584766586,0.05528255528255528,18.187960687960686,10.06142506142506,0.386977886977887,1.2714987714987716,1.6584766584766584,0.11056511056511056,7.905405405405406,0.9398034398034397,0.0,0.44226044226044225,0.7186732186732187
Jhon Durán,Aston Villa,FWD,626,7,0,31,0,0.0,0.0,42.412140575079874,0.0,4.456869009584664,0.0,1.0063897763578273,0.0,0.0,0.0,0.0,1.1501597444089455,0.0,0.0,0.0,0.0,1.7252396166134185,2.0127795527156547
John McGinn,Aston Villa,MID,2230,1,4,31,20,75.0,21.0,47.90582959641255,25.26457399103139,1.251121076233184,0.16143497757847533,0.04035874439461883,11.017937219730943,5.569506726457399,0.40358744394618834,0.8475336322869955,1.3318385650224216,0.3632286995515695,8.233183856502242,3.591928251121076,0.0,0.5650224215246636,1.73542600896861
Lamare Bogarde,Aston Villa,DEF,475,0,0,1,0,0.0,0.0,65.93684210526315,0.0,0.18947368421052632,0.0,0.0,0.0,0.0,0.0,0.0,2.6526315789473682,0.0,0.0,0.0,0.0,2.2736842105263158,1.5157894736842106
Leon Bailey,Aston Villa,MID,1143,1,2,28,1,86.0,10.0,47.24409448818898,55.11811023622047,2.204724409448819,0.15748031496062992,0.07874015748031496,14.409448818897639,7.086614173228346,0.15748031496062992,0.47244094488188976,0.5511811023622047,1.1023622047244095,12.04724409448819,3.0708661417322833,0.0,0.6299212598425197,0.9448818897637795
Lucas Digne,Aston Villa,DEF,2358,0,4,13,6,79.0,10.0,60.534351145038165,53.70229007633588,0.4961832061068702,0.15267175572519084,0.0,8.969465648854962,3.8167938931297707,0.6870229007633587,0.8778625954198473,2.480916030534351,0.6870229007633587,11.488549618320612,4.0458015267175576,0.0,3.2061068702290076,0.8015267175572519
Marco Asensio,Aston Villa,DEF,745,3,1,24,0,0.0,0.0,49.89261744966443,0.0,2.899328859060403,0.12080536912751677,0.36241610738255037,0.0,0.0,0.0,0.0,0.8456375838926173,0.0,0.0,0.0,0.0,0.36241610738255037,1.3288590604026846
Marcus Rashford,Aston Villa,MID,1426,6,3,35,17,80.0,5.0,44.55820476858345,49.98597475455821,2.208976157082749,0.18934081346423562,0.37868162692847124,20.38569424964937,11.171107994389901,0.3155680224403927,3.281907433380084,1.072931276297335,0.3155680224403927,14.32678821879383,3.723702664796634,0.0,0.5680224403927069,0.5680224403927069
Matty Cash,Aston Villa,DEF,2077,1,1,13,6,82.0,3.0,54.20799229658161,63.61097737120847,0.5633124699085219,0.043331728454501686,0.043331728454501686,15.729417428984112,6.456427539720751,0.12999518536350504,0.3033220991815118,2.4265767934520945,2.339913336543091,6.586422725084256,4.809821858449688,0.0,2.5132402503610978,1.1699566682715454
